Value,en,Disaggregation combinations using this value,Number of indicators
Баткенская область,Batken Oblast,35,23
г. Бишкек,г. Бишкек,16,10
г. Ош,г. Ош,16,10
г.Бишкек,г.Бишкек,19,13
г.Ош,г.Ош,19,13
Джалал-Абадская область,Джалал-Абадская область,32,22
Джалал Абадская область,Джалал Абадская область,3,1
Иссык-Кульская область,Иссык-Кульская область,32,22
Иссык Кульская область,Иссык Кульская область,3,1
Нарынская область,Нарынская область,35,23
Ошская область (до 2013г. включая г. Ош),Ошская область (до 2013г. включая г. Ош),1,1
Ошская область,Ошская область,34,22
Таласская область,Таласская область,35,23
Чуйская область,Чуйская область,35,23
